time,Fx,Fy,Fz,Tx,Ty,Tz,dx,dy,dz,dRx,dRy,dRz
32.8803,0,0,0,0,0,0,1.40758e-05,0,0,0,0,0
32.8981,0,0,0,0,0,0,1.33817e-05,0,0,0,0,0
32.9149,0,0,0,0,0,0,1.27588e-05,0,0,0,0,0
32.9346,0,0,0,0,0,0,1.2071e-05,0,0,0,0,0
32.9499,0,0,0,0,0,0,1.15574e-05,0,0,0,0,0
32.9672,0,0,0,0,0,0,1.10047e-05,0,0,0,0,0
32.9844,0,0,0,0,0,0,1.04806e-05,0,0,0,0,0
32.9984,0,0,0,0,0,0,1.00736e-05,0,0,0,0,0
33.0158,0,0,0,0,0,0,9.58786e-06,0,0,0,0,0
33.0321,0,0,0,0,0,0,9.1545e-06,0,0,0,0,0
33.0463,0,0,0,0,0,0,8.79273e-06,0,0,0,0,0
33.0612,0,0,0,0,0,0,8.42835e-06,0,0,0,0,0
33.0735,0,0,0,0,0,0,8.1387e-06,0,0,0,0,0
33.0956,0,0,0,0,0,0,7.6497e-06,0,0,0,0,0
33.1087,0,0,0,0,0,0,7.36785e-06,0,0,0,0,0
33.1286,0,0,0,0,0,0,6.96609e-06,0,0,0,0,0
33.1461,0,0,0,0,0,0,6.62852e-06,0,0,0,0,0
33.1635,0,0,0,0,0,0,6.31034e-06,0,0,0,0,0
33.1809,0,0,0,0,0,0,6.00815e-06,0,0,0,0,0
33.1957,0,0,0,0,0,0,5.76111e-06,0,0,0,0,0
33.2106,0,0,0,0,0,0,5.52117e-06,0,0,0,0,0
33.2255,0,0,0,0,0,0,5.29245e-06,0,0,0,0,0
33.2395,0,0,0,0,0,0,5.08683e-06,0,0,0,0,0
33.2559,0,0,0,0,0,0,4.85502e-06,0,0,0,0,0
33.2707,0,0,0,0,0,0,4.65473e-06,0,0,0,0,0
33.2874,0,0,0,0,0,0,4.43994e-06,0,0,0,0,0
33.3026,0,0,0,0,0,0,4.25271e-06,0,0,0,0,0
33.3194,0,0,0,0,0,0,4.05491e-06,0,0,0,0,0
33.3367,0,0,0,0,0,0,3.86035e-06,0,0,0,0,0
33.3503,0,0,0,0,0,0,3.71443e-06,0,0,0,0,0
33.3648,0,0,0,0,0,0,3.56419e-06,0,0,0,0,0
33.3831,0,0,0,0,0,0,3.38404e-06,0,0,0,0,0
33.3966,0,0,0,0,0,0,3.25715e-06,0,0,0,0,0
33.4151,0,0,0,0,0,0,3.09116e-06,0,0,0,0,0
33.4298,0,0,0,0,0,0,2.9647e-06,0,0,0,0,0
33.4448,0,0,0,0,0,0,2.84032e-06,0,0,0,0,0
33.4582,0,0,0,0,0,0,2.73409e-06,0,0,0,0,0
33.4733,0,0,0,0,0,0,2.61959e-06,0,0,0,0,0
33.4921,0,0,0,0,0,0,2.48391e-06,0,0,0,0,0
33.5057,0,0,0,0,0,0,2.38991e-06,0,0,0,0,0
33.5215,0,0,0,0,0,0,2.28482e-06,0,0,0,0,0
33.5361,0,0,0,0,0,0,2.19186e-06,0,0,0,0,0
33.5503,0,0,0,0,0,0,2.10549e-06,0,0,0,0,0
33.568,0,0,0,0,0,0,2.0026e-06,0,0,0,0,0
33.582,0,0,0,0,0,0,1.92412e-06,0,0,0,0,0
33.5991,0,0,0,0,0,0,1.83326e-06,0,0,0,0,0
33.6128,0,0,0,0,0,0,1.76326e-06,0,0,0,0,0
33.63,0,0,0,0,0,0,1.67931e-06,0,0,0,0,0
33.6467,0,0,0,0,0,0,1.60173e-06,0,0,0,0,0
33.6681,0,0,0,0,0,0,1.50819e-06,0,0,0,0,0
33.6818,0,0,0,0,0,0,1.4504e-06,0,0,0,0,0
33.7015,0,0,0,0,0,0,1.37234e-06,0,0,0,0,0
33.7177,0,0,0,0,0,0,1.3111e-06,0,0,0,0,0
33.7374,0,0,0,0,0,0,1.23969e-06,0,0,0,0,0
33.7525,0,0,0,0,0,0,1.18763e-06,0,0,0,0,0
33.7682,0,0,0,0,0,0,1.13608e-06,0,0,0,0,0
33.7861,0,0,0,0,0,0,1.0798e-06,0,0,0,0,0
33.802,0,0,0,0,0,0,1.03234e-06,0,0,0,0,0
33.8162,0,0,0,0,0,0,9.91505e-07,0,0,0,0,0
33.8356,0,0,0,0,0,0,9.38718e-07,0,0,0,0,0
33.8501,0,0,0,0,0,0,9.00766e-07,0,0,0,0,0
33.864,0,0,0,0,0,0,8.65742e-07,0,0,0,0,0
33.8801,0,0,0,0,0,0,8.27192e-07,0,0,0,0,0
33.895,0,0,0,0,0,0,7.92765e-07,0,0,0,0,0
33.9124,0,0,0,0,0,0,7.54842e-07,0,0,0,0,0
33.9286,0,0,0,0,0,0,7.21061e-07,0,0,0,0,0
33.9436,0,0,0,0,0,0,6.90805e-07,0,0,0,0,0
33.9608,0,0,0,0,0,0,6.57965e-07,0,0,0,0,0
33.9786,0,0,0,0,0,0,6.25591e-07,0,0,0,0,0
33.9945,0,0,0,0,0,0,5.98133e-07,0,0,0,0,0
34.0096,0,0,0,0,0,0,5.73028e-07,0,0,0,0,0
34.0222,0,0,0,0,0,0,5.52705e-07,0,0,0,0,0
34.0354,0,0,0,0,0,0,5.32387e-07,0,0,0,0,0
34.051,0,0,0,0,0,0,5.09319e-07,0,0,0,0,0
34.0644,0,0,0,0,0,0,4.90247e-07,0,0,0,0,0
34.0783,0,0,0,0,0,0,4.71153e-07,0,0,0,0,0
34.0938,0,0,0,0,0,0,4.50879e-07,0,0,0,0,0
34.1098,0,0,0,0,0,0,4.30925e-07,0,0,0,0,0
34.1245,0,0,0,0,0,0,4.13251e-07,0,0,0,0,0
34.1389,0,0,0,0,0,0,3.96664e-07,0,0,0,0,0
34.1558,0,0,0,0,0,0,3.78154e-07,0,0,0,0,0
34.1711,0,0,0,0,0,0,3.62035e-07,0,0,0,0,0
34.1888,0,0,0,0,0,0,3.44362e-07,0,0,0,0,0
34.2068,0,0,0,0,0,0,3.27258e-07,0,0,0,0,0
34.2271,0,0,0,0,0,0,3.09055e-07,0,0,0,0,0
34.2421,0,0,0,0,0,0,2.96173e-07,0,0,0,0,0
34.2574,0,0,0,0,0,0,2.83607e-07,0,0,0,0,0
34.2711,0,0,0,0,0,0,2.72744e-07,0,0,0,0,0
34.2835,0,0,0,0,0,0,2.63271e-07,0,0,0,0,0
34.2967,0,0,0,0,0,0,2.53569e-07,0,0,0,0,0
34.3137,0,0,0,0,0,0,2.41632e-07,0,0,0,0,0
34.3322,0,0,0,0,0,0,2.29321e-07,0,0,0,0,0
34.3489,0,0,0,0,0,0,2.18756e-07,0,0,0,0,0
34.3647,0,0,0,0,0,0,2.09145e-07,0,0,0,0,0
34.3801,0,0,0,0,0,0,2.00185e-07,0,0,0,0,0
34.3984,0,0,0,0,0,0,1.90076e-07,0,0,0,0,0
34.4126,0,0,0,0,0,0,1.82595e-07,0,0,0,0,0
34.4285,0,0,0,0,0,0,1.74532e-07,0,0,0,0,0
34.4459,0,0,0,0,0,0,1.66124e-07,0,0,0,0,0
34.463,0,0,0,0,0,0,1.58291e-07,0,0,0,0,0
34.4815,0,0,0,0,0,0,1.50225e-07,0,0,0,0,0
34.4982,0,0,0,0,0,0,1.43278e-07,0,0,0,0,0
34.5136,0,0,0,0,0,0,1.37138e-07,0,0,0,0,0
34.5284,0,0,0,0,0,0,1.31498e-07,0,0,0,0,0
34.546,0,0,0,0,0,0,1.25094e-07,0,0,0,0,0
34.5641,0,0,0,0,0,0,1.18917e-07,0,0,0,0,0
34.5805,0,0,0,0,0,0,1.13453e-07,0,0,0,0,0
34.5959,0,0,0,0,0,0,1.08612e-07,0,0,0,0,0
34.6119,0,0,0,0,0,0,1.03803e-07,0,0,0,0,0
34.6311,0,0,0,0,0,0,9.83288e-08,0,0,0,0,0
34.6458,0,0,0,0,0,0,9.42981e-08,0,0,0,0,0
34.6636,0,0,0,0,0,0,8.96812e-08,0,0,0,0,0
34.6776,0,0,0,0,0,0,8.61779e-08,0,0,0,0,0
34.6949,0,0,0,0,0,0,8.20578e-08,0,0,0,0,0
34.7114,0,0,0,0,0,0,7.83182e-08,0,0,0,0,0
34.7289,0,0,0,0,0,0,7.45343e-08,0,0,0,0,0
34.743,0,0,0,0,0,0,7.1594e-08,0,0,0,0,0
34.7601,0,0,0,0,0,0,6.82152e-08,0,0,0,0,0
34.775,0,0,0,0,0,0,6.53893e-08,0,0,0,0,0
34.7886,0,0,0,0,0,0,6.29031e-08,0,0,0,0,0
34.8052,0,0,0,0,0,0,6.00156e-08,0,0,0,0,0
34.8245,0,0,0,0,0,0,5.68266e-08,0,0,0,0,0
34.8389,0,0,0,0,0,0,5.45414e-08,0,0,0,0,0
34.8545,0,0,0,0,0,0,5.21835e-08,0,0,0,0,0
34.8716,0,0,0,0,0,0,4.97227e-08,0,0,0,0,0
34.89,0,0,0,0,0,0,4.72008e-08,0,0,0,0,0
34.9049,0,0,0,0,0,0,4.5241e-08,0,0,0,0,0
34.9231,0,0,0,0,0,0,4.29783e-08,0,0,0,0,0
34.9389,0,0,0,0,0,0,4.10915e-08,0,0,0,0,0
34.9555,0,0,0,0,0,0,3.91972e-08,0,0,0,0,0
34.9725,0,0,0,0,0,0,3.73648e-08,0,0,0,0,0
34.9869,0,0,0,0,0,0,3.58705e-08,0,0,0,0,0
35.0027,0,0,0,0,0,0,3.42911e-08,0,0,0,0,0
35.0191,0,0,0,0,0,0,3.27358e-08,0,0,0,0,0
35.0341,0,0,0,0,0,0,3.13622e-08,0,0,0,0,0
35.0496,0,0,0,0,0,0,3.00179e-08,0,0,0,0,0
35.0632,0,0,0,0,0,0,2.88738e-08,0,0,0,0,0
35.0804,0,0,0,0,0,0,2.75009e-08,0,0,0,0,0
35.0974,0,0,0,0,0,0,2.62116e-08,0,0,0,0,0
35.1109,0,0,0,0,0,0,2.52198e-08,0,0,0,0,0
35.1267,0,0,0,0,0,0,2.41157e-08,0,0,0,0,0
35.1433,0,0,0,0,0,0,2.3004e-08,0,0,0,0,0
35.1598,0,0,0,0,0,0,2.19547e-08,0,0,0,0,0
35.1795,0,0,0,0,0,0,2.07696e-08,0,0,0,0,0
35.1972,0,0,0,0,0,0,1.97653e-08,0,0,0,0,0
35.2163,0,0,0,0,0,0,1.87194e-08,0,0,0,0,0
35.2336,0,0,0,0,0,0,1.78232e-08,0,0,0,0,0
35.2537,0,0,0,0,0,0,1.68438e-08,0,0,0,0,0
35.2733,0,0,0,0,0,0,1.59407e-08,0,0,0,0,0
35.2899,0,0,0,0,0,0,1.52086e-08,0,0,0,0,0
35.3096,0,0,0,0,0,0,1.43847e-08,0,0,0,0,0
35.3284,0,0,0,0,0,0,1.36408e-08,0,0,0,0,0
35.3423,0,0,0,0,0,0,1.31157e-08,0,0,0,0,0
35.3581,0,0,0,0,0,0,1.25376e-08,0,0,0,0,0
35.3745,0,0,0,0,0,0,1.19688e-08,0,0,0,0,0
35.3881,0,0,0,0,0,0,1.15147e-08,0,0,0,0,0
35.4062,0,0,0,0,0,0,1.09457e-08,0,0,0,0,0
35.4215,0,0,0,0,0,0,1.04749e-08,0,0,0,0,0
35.4375,0,0,0,0,0,0,1.001e-08,0,0,0,0,0
35.4521,0,0,0,0,0,0,9.60396e-09,0,0,0,0,0
35.469,0,0,0,0,0,0,9.1549e-09,0,0,0,0,0
35.4843,0,0,0,0,0,0,8.76503e-09,0,0,0,0,0
35.5021,0,0,0,0,0,0,8.33593e-09,0,0,0,0,0
35.5161,0,0,0,0,0,0,8.00953e-09,0,0,0,0,0
35.5323,0,0,0,0,0,0,7.65178e-09,0,0,0,0,0
35.5484,0,0,0,0,0,0,7.30855e-09,0,0,0,0,0
35.5636,0,0,0,0,0,0,6.99966e-09,0,0,0,0,0
35.5848,0,0,0,0,0,0,6.59484e-09,0,0,0,0,0
35.5985,0,0,0,0,0,0,6.34309e-09,0,0,0,0,0
35.6173,0,0,0,0,0,0,6.01646e-09,0,0,0,0,0
35.6336,0,0,0,0,0,0,5.74362e-09,0,0,0,0,0
35.6494,0,0,0,0,0,0,5.49138e-09,0,0,0,0,0
35.6639,0,0,0,0,0,0,5.2695e-09,0,0,0,0,0
35.6813,0,0,0,0,0,0,5.01574e-09,0,0,0,0,0
35.6991,0,0,0,0,0,0,4.76983e-09,0,0,0,0,0
35.7147,0,0,0,0,0,0,4.5634e-09,0,0,0,0,0
35.7284,0,0,0,0,0,0,4.3888e-09,0,0,0,0,0
35.745,0,0,0,0,0,0,4.18747e-09,0,0,0,0,0
35.7609,0,0,0,0,0,0,4.00238e-09,0,0,0,0,0
35.7762,0,0,0,0,0,0,3.83297e-09,0,0,0,0,0
35.7925,0,0,0,0,0,0,3.65895e-09,0,0,0,0,0
35.8079,0,0,0,0,0,0,3.50295e-09,0,0,0,0,0
35.8308,0,0,0,0,0,0,3.28617e-09,0,0,0,0,0
35.8511,0,0,0,0,0,0,3.1024e-09,0,0,0,0,0
35.8649,0,0,0,0,0,0,2.98335e-09,0,0,0,0,0
35.8789,0,0,0,0,0,0,2.86643e-09,0,0,0,0,0
35.8962,0,0,0,0,0,0,2.72922e-09,0,0,0,0,0
35.9105,0,0,0,0,0,0,2.62109e-09,0,0,0,0,0
35.9259,0,0,0,0,0,0,2.50869e-09,0,0,0,0,0
35.9422,0,0,0,0,0,0,2.39526e-09,0,0,0,0,0
35.9591,0,0,0,0,0,0,2.28372e-09,0,0,0,0,0
35.9803,0,0,0,0,0,0,2.15107e-09,0,0,0,0,0
35.9935,0,0,0,0,0,0,2.07207e-09,0,0,0,0,0
36.0097,0,0,0,0,0,0,1.97929e-09,0,0,0,0,0
36.0263,0,0,0,0,0,0,1.88835e-09,0,0,0,0,0
36.0418,0,0,0,0,0,0,1.80713e-09,0,0,0,0,0
36.0552,0,0,0,0,0,0,1.73905e-09,0,0,0,0,0
36.0678,0,0,0,0,0,0,1.67778e-09,0,0,0,0,0
36.0801,0,0,0,0,0,0,1.62002e-09,0,0,0,0,0
36.0928,0,0,0,0,0,0,1.56228e-09,0,0,0,0,0
36.1059,0,0,0,0,0,0,1.50514e-09,0,0,0,0,0
36.1232,0,0,0,0,0,0,1.4331e-09,0,0,0,0,0
36.1367,0,0,0,0,0,0,1.37896e-09,0,0,0,0,0
36.1503,0,0,0,0,0,0,1.32663e-09,0,0,0,0,0
36.1624,0,0,0,0,0,0,1.28144e-09,0,0,0,0,0
36.1768,0,0,0,0,0,0,1.23004e-09,0,0,0,0,0
36.1924,0,0,0,0,0,0,1.17673e-09,0,0,0,0,0
36.2068,0,0,0,0,0,0,1.12955e-09,0,0,0,0,0
36.2202,0,0,0,0,0,0,1.08715e-09,0,0,0,0,0
36.2336,0,0,0,0,0,0,1.0466e-09,0,0,0,0,0
36.2493,0,0,0,0,0,0,1.00119e-09,0,0,0,0,0
36.2695,0,0,0,0,0,0,9.45377e-10,0,0,0,0,0
